STATE_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,LENGTH_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,COST_OF_WORKS_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,LENGTH_OF_ROAD_WORK_COMPLETED,NO_OF_BRIDGES_COMPLETED,EXPENDITURE_OCCURED,NO_OF_ROAD_WORKS_BALANCE,LENGTH_OF_ROAD_WORK_BALANCE,NO_OF_BRIDGES_BALANCE,COST_PER_KM,COMPLETION_RATE_ROAD,COMPLETION_RATE_BRIDGES,EXPENDITURE_PER_KM
Bihar,PMGSY-II,6,35.31,0,16.35644,6,35.255,0,16.6502,0,0.0,0,0.4632240158595298,0.9984423676012462,0.0,0.47227910934619205
Bihar,PMGSY-III,19,137.915,17,170.54366,15,123.668,0,90.6421,4,10.61,17,1.2365852880397346,0.8966972410542726,0.0,0.732947084128473
Bihar,PMGSY-I,501,1475.376,4,732.8235,501,1454.725,4,653.6685,0,0.0,0,0.49670287438591926,0.9860028901107243,1.0,0.4493416281427762
Bihar,PMGSY-II,14,77.452,0,36.19232,14,77.254,0,34.9717,0,0.0,0,0.4672870939420545,0.9974435779579611,0.0,0.45268465063297686
Bihar,PMGSY-III,5,27.355,0,16.78689,5,27.036,0,14.0995,0,0.0,0,0.613668067994882,0.9883385121549991,0.0,0.5215083592247374
Bihar,PMGSY-I,215,672.916,20,468.9238,213,661.146,15,434.0139,2,1.662,5,0.6968533962634266,0.9825089609995897,0.75,0.6564569701699776
Bihar,PMGSY-II,4,26.255,0,12.94036,4,26.255,0,13.0723,0,0.0,0,0.4928722148162255,1.0,0.0,0.49789754332508096
Bihar,PMGSY-III,20,151.835,13,156.20206,9,106.225,6,122.8432,11,45.4,7,1.0287618796720122,0.6996081272433892,0.46153846153846156,1.1564433984466933
Bihar,PMGSY-I,496,1580.714,9,754.27234,496,1521.695,8,670.924,0,0.0,1,0.4771719235737774,0.9626630750407728,0.8888888888888888,0.4409057005510303
Bihar,PMGSY-II,16,60.334,0,26.46987,16,60.334,0,24.3944,0,0.0,0,0.4387222793118308,1.0,0.0,0.40432260417011967
Bihar,PMGSY-III,26,192.741,6,150.87491,17,147.398,0,95.556,9,45.327,6,0.7827857591275338,0.7647464732464809,0.0,0.6482855941057545
Bihar,PMGSY-I,733,2477.529,26,1478.70356,733,2407.95,26,1382.3337,0,0.0,0,0.5968461156256899,0.971915969500256,1.0,0.5740707655889865
Bihar,PMGSY-II,8,32.895,0,14.98459,7,31.893,0,15.0084,1,0.99,0,0.45552789177686576,0.9695394436844504,0.0,0.4705860220110996
Bihar,PMGSY-III,14,132.817,8,140.48373,9,74.348,3,52.9839,5,54.423,5,1.0577240112335018,0.5597777392954215,0.375,0.7126472803572389
Chhattisgarh,PMGSY-I,214,832.175,23,280.70689,214,782.525,23,266.3914,0,0.0,0,0.33731713882296394,0.9403370685252501,1.0,0.3404254177182837
Chhattisgarh,PMGSY-II,11,121.875,0,82.0187,11,120.9,0,81.9574,0,0.0,0,0.6729739487179487,0.992,0.0,0.6778941273779984
